num,atom,x,y,z
1,Co,3.3389666871,-2.04281036531029E-14,4.7220119733
1,Co,5.79529620441207E-15,0,7.0830179599
1,Co,1.6771028425,-2.8916299735,9.4186740916
1,Co,3.3455395463,-2.06501482580279E-14,11.8083137086
1,Ag,0.8347416718,-1.4458149867,4.7220119733
1,Ag,0.8347416718,-4.3374449602,4.7220119733
1,Ag,3.3389666871,-2.8916299735,4.7220119733
1,Ag,5.79529620441207E-15,-2.8916299735,7.0830179599
1,Ag,2.5042250154,1.4458149867,7.0830179599
1,Ag,2.5042250154,-1.4458149867,7.0830179599
1,Ag,1.6595982291,0,9.4266902054
1,Ag,4.1730003949,1.4539655979,9.4221423966
1,Ag,4.1730003949,-1.4539655979,9.4221423966
1,Ag,0.8385201119,-1.461438325,11.7609625221
1,Ag,0.8385201119,-4.3218216219,11.7609625221
1,Ag,3.3223438124,-2.8916299735,11.8422367148
1,Ag,-0.060379742,0,14.2623649936
1,Ag,4.9933016787,2.04281036531029E-14,14.1408836506
1,Ag,2.5481003008,1.4750451905,14.2255490728
1,Ag,2.5481003008,-1.4750451905,14.2255490728
1,O,1.6745564688,0,15.5167069579
2,Co,3.3389666871,-2.04281036531029E-14,4.7220119733
2,Co,5.79529620441207E-15,0,7.0830179599
2,Co,1.6694833436,-2.8916299735,9.4278648041
2,Co,3.3389666871,-2.04281036531029E-14,11.9064537524
2,Ag,0.8347416718,-1.4458149867,4.7220119733
2,Ag,0.8347416718,-4.3374449602,4.7220119733
2,Ag,3.3389666871,-2.8916299735,4.7220119733
2,Ag,5.79529620441207E-15,-2.8916299735,7.0830179599
2,Ag,2.5042250154,1.4458149867,7.0830179599
2,Ag,2.5042250154,-1.4458149867,7.0830179599
2,Ag,1.6697481997,0,9.4210528602
2,Ag,4.1735759309,1.4455856146,9.4210528602
2,Ag,4.1735759309,-1.4455856146,9.4210528602
2,Ag,0.8438363312,-1.4615673988,11.764519553
2,Ag,0.8438363312,-4.3216925481,11.764519553
2,Ag,3.3207773684,-2.8916299735,11.764519553
2,Ag,1.15990300786599E-14,0,14.17634845
2,Ag,4.9469040003,2.04281036531029E-14,14.2278675036
2,Ag,2.5349980305,1.3925145609,14.2278675036
2,Ag,2.5349980305,-1.3925145609,14.2278675036
2,O,1.6694833436,-2.8916299735,15.5072838342
3,Co,3.3389666871,-2.04281036531029E-14,4.7220119733
3,Co,5.79529620441207E-15,0,7.0830179599
3,Co,1.6706303558,-2.893616657,9.4234505475
3,Co,3.3542247758,-0.0264277848,11.8456905452
3,Ag,0.8347416718,-1.4458149867,4.7220119733
3,Ag,0.8347416718,-4.3374449602,4.7220119733
3,Ag,3.3389666871,-2.8916299735,4.7220119733
3,Ag,5.79529620441207E-15,-2.8916299735,7.0830179599
3,Ag,2.5042250154,1.4458149867,7.0830179599
3,Ag,2.5042250154,-1.4458149867,7.0830179599
3,Ag,1.665101845,0.0025488501,9.4224002496
3,Ag,4.1736917393,1.4508839008,9.4224002496
3,Ag,4.1750954701,-1.4482175338,9.4171656792
3,Ag,0.8433267348,-1.460684752,11.7436724882
3,Ag,0.8298327826,-4.3168633828,11.7841323251
3,Ag,3.3235969628,-2.877087962,11.7841323251
3,Ag,-0.0219986501,0.0381027797,14.2685819223
3,Ag,4.96205102,-0.0371526521,14.222625075
3,Ag,2.5119678321,1.4324040346,14.1432375886
3,Ag,2.5595996612,-1.4242085908,14.222625075
3,O,0.8540812828,-1.4793121756,15.5290034655
4,Co,3.3389666871,-2.04281036531029E-14,4.7220119733
4,Co,5.79529620441207E-15,0,7.0830179599
4,Co,1.6694833436,-2.8916299735,9.4129354486
4,Co,3.3389666871,-2.04281036531029E-14,11.7626664056
4,Ag,0.8347416718,-1.4458149867,4.7220119733
4,Ag,0.8347416718,-4.3374449602,4.7220119733
4,Ag,3.3389666871,-2.8916299735,4.7220119733
4,Ag,5.79529620441207E-15,-2.8916299735,7.0830179599
4,Ag,2.5042250154,1.4458149867,7.0830179599
4,Ag,2.5042250154,-1.4458149867,7.0830179599
4,Ag,1.659510142,0,9.4265341676
4,Ag,4.1786949597,1.4544520326,9.4265341676
4,Ag,4.1786949597,-1.4544520326,9.4265341676
4,Ag,0.8468394916,-1.4667690254,11.7880596476
4,Ag,0.8468394916,-4.3164909215,11.7880596476
4,Ag,3.3147710474,-2.8916299735,11.7880596476
4,Ag,1.16039104057406E-14,0,14.1823131916
4,Ag,0.0374020561,-2.8916299735,14.2271130016
4,Ag,2.4855239873,1.4782061175,14.2271130016
4,Ag,2.4855239873,-1.4782061175,14.2271130016
4,O,3.3389666871,-2.04281036531029E-14,15.5512011508
5,Be,3.2872552092,-1.97619698383278E-14,4.6488808998
5,Be,5.73988781946483E-15,0,6.9733213497
5,Be,1.6833566541,-2.8468465199,9.2433277851
5,Be,3.3711878949,-1.99840144432528E-14,11.5346884938
5,Ag,0.8218138023,-1.4234232599,4.6488808998
5,Ag,0.8218138023,-4.2702697798,4.6488808998
5,Ag,3.2872552092,-2.8468465199,4.6488808998
5,Ag,5.73988781946483E-15,-2.8468465199,6.9733213497
5,Ag,2.4654414069,1.4234232599,6.9733213497
5,Ag,2.4654414069,-1.4234232599,6.9733213497
5,Ag,1.613331938,2.06501482580279E-14,9.2476021562
5,Ag,4.0802359777,1.43017068,9.2922055165
5,Ag,4.0802359777,-1.43017068,9.2922055165
5,Ag,0.8881640805,-1.4345124438,11.52944385
5,Ag,0.8881640805,-4.259180596,11.52944385
5,Ag,3.322843854,-2.8468465199,11.6978573789
