,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Au,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972139716148376,1.471118450164795,0.17501601576805115,0.5603575110435486,0.42660608887672424,0.0,0.9547587037086487,1.4980404376983643,0.0,0.3372732996940613,0.5183658599853516,0.0
Be,0.050500884652137756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16746637225151062,0.41804829239845276,0.0,0.11778031289577484,0.10282818228006363,0.0,0.2739691138267517,0.5412091016769409,0.0,0.1545187383890152,0.020662352442741394,0.0
Eu,0.06054096668958664,0.04769032821059227,0.15843358635902405,0.0,0.0,0.0,0.0,0.0,0.06528879702091217,0.009118267334997654,0.0,0.11676042526960373,0.04218558594584465,0.0,0.016613705083727837,0.1752546727657318,0.0,0.06950262933969498,0.0,0.0
Tc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045548737049103,0.5939869284629822,0.0,0.7820252776145935,0.3664498031139374,0.0,0.6079370975494385,1.1333575248718262,0.0,0.0,0.025633374229073524,0.0
Tm,0.0,0.0,0.0,0.0,0.0,0.17715372145175934,0.0,0.45464199781417847,0.19850009679794312,0.0,0.2227689027786255,0.4251118302345276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li,0.07188576459884644,0.0,0.09192883223295212,0.0,0.0,0.0,0.0,0.0,0.1847030222415924,0.2608359754085541,0.0,0.03329473361372948,0.07543623447418213,0.0,0.10611222684383392,0.24450591206550598,0.0,0.16785086691379547,0.02614486962556839,0.0
Pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5670454502105713,0.9786354303359985,0.0,0.7796049118041992,0.42982667684555054,0.0,0.8333605527877808,1.4456079006195068,0.0,0.09412813186645508,0.1871306598186493,0.0
Ge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1577475517988205,0.5203894972801208,0.0,0.3061233460903168,0.18781203031539917,0.0,0.447263240814209,0.8840147256851196,0.0,0.09154405444860458,0.033536553382873535,0.0
N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21524977684021,2.1380505561828613,0.9712433218955994,0.0,0.10821524262428284,0.0,0.9847214221954346,1.4353288412094116,0.0,0.789980411529541,0.9051335453987122,0.0
Dy,0.0,0.0,0.0,0.0,0.0,0.27587416768074036,0.0,0.48699477314949036,0.22062313556671143,0.0,0.30021992325782776,0.3160020709037781,0.0,0.0,0.0,0.0,0.0,0.030178431421518326,0.0,0.0
Tl,0.02132388949394226,0.0,0.025044474750757217,0.0,0.0,0.0,0.0,0.0,0.3904561698436737,0.6405243277549744,0.14753621816635132,0.02594604715704918,0.13044530153274536,0.0,0.2610889971256256,0.4096514582633972,0.0,0.2907092273235321,0.23585397005081177,0.0
Cd,0.0012707114219665527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24330627918243408,0.634512722492218,0.0,0.22934992611408234,0.17623034119606018,0.0,0.4454808831214905,0.8298868536949158,0.0,0.16047728061676025,0.10568109154701233,0.0
Xe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8198272585868835,1.5068020820617676,0.0,4.649460315704346,0.8095879554748535,0.0,3.2132973670959473,7.093656539916992,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003668665885925293,0.22644375264644623,0.15157350897789001,0.0,1.2573460340499878,0.26757940649986267,0.0,0.4310169816017151,1.163294792175293,0.0,0.0,0.0,0.0
Mg,0.07604949921369553,0.06961750984191895,0.10020247101783752,0.0,0.0,0.0,0.0,0.0,0.0808500200510025,0.11649371683597565,0.0,0.11882573366165161,0.08335120230913162,0.0,0.09709420800209045,0.29419225454330444,0.0,0.08455117046833038,0.0,0.0
Ga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20305174589157104,0.13566723465919495,0.0,0.03391692042350769,1.416939616203308,0.16300860047340393,0.0,0.3263907730579376,1.1759138107299805,0.0,0.0,0.0,0.0
Ca,0.06207115948200226,0.029940294101834297,0.14348122477531433,0.0,0.0,0.012300804257392883,0.0,0.010673347860574722,0.0967131182551384,0.01944422349333763,0.0,0.05791154503822327,0.021763557568192482,0.0,0.0,0.11034524440765381,0.0,0.10628652572631836,0.0,0.0
Hf,0.029468383640050888,0.0,0.10994727164506912,0.0,0.0,0.0,0.0,0.0,0.19855277240276337,0.16902725398540497,0.0,0.2053162306547165,0.12498772144317627,0.0,0.13191357254981995,0.3223103880882263,0.0,0.10100630670785904,0.0,0.0
Pu,0.0,0.0,0.0,0.0,0.0,0.0417364239692688,0.0,0.6504669785499573,0.20030821859836578,0.0,0.23469741642475128,0.9878005385398865,0.00364115834236145,0.0,0.0,0.13216428458690643,0.0,0.0,0.0,0.0
