,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Au,-0.0913952887058258,0.05029398575425148,-0.13177597522735596,0.11469282954931259,-0.15689757466316223,0.07494262605905533,-0.07412950694561005,0.05521663650870323,-0.07509969919919968,0.06532266736030579,-0.03341493383049965,0.05033336207270622,-0.04055361449718475,0.0022583252284675837,-0.1437504142522812,0.07550514489412308,-0.253471314907074,0.07299904525279999,-0.06473083794116974,0.02353953756392002
Be,-0.05534385144710541,-0.014904378913342953,0.03244750201702118,0.1415519267320633,-0.14598189294338226,-0.24104192852973938,0.13168543577194214,-0.03302064910531044,0.09929351508617401,-0.049991264939308167,0.05846913158893585,0.039150409400463104,-0.0029799481853842735,0.1665666252374649,-0.1306353062391281,-0.11800909787416458,0.0008668184746056795,-0.1697808802127838,-0.01277612429112196,-0.05706968903541565
Eu,-0.10534881800413132,-0.12206684052944183,0.02365841716527939,0.07106809318065643,-0.02045401930809021,-0.10076339542865753,-0.0023048415314406157,-0.0813974142074585,-0.13439419865608215,0.03926357626914978,0.001231794129125774,-0.001994446851313114,-0.057077035307884216,-0.10238205641508102,0.008313766680657864,0.15463721752166748,-0.10962255299091339,-0.007699049077928066,-0.09359489381313324,-0.07685293257236481
Tc,-0.10821518301963806,0.10187812149524689,-0.22338351607322693,-0.00894942693412304,-0.0058205160312354565,0.010731996037065983,-0.03541623055934906,-0.05480823665857315,0.10382901877164841,0.07239415496587753,0.03600456193089485,0.0664316788315773,-0.02734592743217945,-0.00645070755854249,0.1565927416086197,-0.0769212543964386,-0.005728515796363354,-0.07310566306114197,-0.12866847217082977,-0.0025001708418130875
Tm,-0.13716478645801544,-0.22598609328269958,-0.019551031291484833,-0.06765972077846527,-0.01773354783654213,-0.001442178850993514,0.000742577773053199,0.04924062639474869,-0.04024677723646164,0.006085100118070841,0.09681375324726105,0.0334426648914814,0.07609362155199051,0.08633312582969666,-0.03360060602426529,-0.16380390524864197,0.09379085898399353,-0.029487982392311096,0.0713457465171814,-0.07650783658027649
Li,-0.015532854944467545,-0.013296605087816715,0.0006632512668147683,0.12277330458164215,0.12159253656864166,0.058444492518901825,0.032840829342603683,-0.02758963406085968,-0.002337127923965454,-0.03988167271018028,0.00675145024433732,-0.05750627443194389,0.02916635572910309,0.024486150592565536,0.06559084355831146,-0.1432161182165146,0.009395564906299114,-0.17373016476631165,0.035235073417425156,0.2997015416622162
Pt,-0.15227240324020386,0.17074550688266754,-0.07436803728342056,-0.05494968220591545,0.06366501748561859,-0.09686749428510666,-0.04473894089460373,-0.026756785809993744,-0.14023242890834808,-0.007390380371361971,0.09964974969625473,-0.09182968735694885,0.049778200685977936,0.0766313299536705,0.019336512312293053,0.013358226977288723,0.018960891291499138,-0.024329716339707375,-0.014100492931902409,0.020786292850971222
Ge,-0.12107103317975998,0.07033386826515198,0.13304151594638824,-0.0005985285388305783,0.08305962383747101,-0.18457917869091034,-0.08314641565084457,0.15601247549057007,0.14355617761611938,0.0027873069047927856,0.06734617054462433,0.11611707508563995,0.12736059725284576,0.001597654540091753,-0.02358689159154892,0.10962127149105072,0.024604538455605507,-0.009490123949944973,-0.051854655146598816,0.042933836579322815
N,-0.1286672204732895,0.11979064345359802,0.1480850875377655,0.0010866348166018724,-0.027454938739538193,0.14049819111824036,0.07047859579324722,0.19319185614585876,-0.19355879724025726,0.13151372969150543,-0.08875922113656998,-0.04999657720327377,0.013948889449238777,0.010293008759617805,-0.16567614674568176,0.04516594111919403,0.036859553307294846,-0.11069148033857346,0.0427497960627079,0.014222688041627407
Dy,-0.13498790562152863,-0.23819778859615326,-0.009652010165154934,-0.09428058564662933,0.004904831759631634,0.009715256281197071,0.00817049853503704,0.05271686613559723,-0.10193983465433121,-0.014088003896176815,0.10013595223426819,0.08182907849550247,0.0329071469604969,0.04752443730831146,0.01931404136121273,-0.14893582463264465,-0.009366825222969055,-0.04092561453580856,0.006269839126616716,-0.04020284488797188
Tl,-0.07060222327709198,-0.008010734803974628,-0.03446121886372566,0.2036217600107193,-0.03543395921587944,0.1297982931137085,-0.08963358402252197,0.10058848559856415,0.025107959285378456,-0.10956871509552002,0.05411994084715843,-0.00296616880223155,-0.05572214722633362,0.01518353819847107,-0.0821852833032608,0.0027360832318663597,-0.00960487313568592,0.13424371182918549,-0.033578962087631226,-0.0015452314401045442
Cd,-0.04215630143880844,0.011736772023141384,0.019452370703220367,0.12556053698062897,-0.11264478415250778,-0.2194749414920807,-0.1924852430820465,0.014616154134273529,-0.09978572279214859,0.014315938577055931,0.01951025240123272,0.0005398790235631168,8.853022154653445e-05,0.10309582203626633,0.2626195549964905,0.15946367383003235,0.17514409124851227,-0.17001941800117493,0.3977504372596741,-0.22370770573616028
Xe,-0.03408775106072426,0.03471184894442558,-0.07117188721895218,0.01806987263262272,-0.07904554158449173,-0.12773948907852173,0.3111962676048279,0.02662711776793003,0.025196118280291557,-0.11771026998758316,0.05801815167069435,-0.062010981142520905,0.022268058732151985,-0.260099321603775,0.16530095040798187,-0.11651106923818588,0.0996054857969284,0.34558001160621643,0.09161179512739182,-0.006478379480540752
B,-0.09944815933704376,0.04272492229938507,-0.19995936751365662,0.03382740914821625,-0.12996064126491547,0.09792808443307877,-0.037718720734119415,-0.02160128764808178,0.15739864110946655,0.11230188608169556,-0.03498942404985428,0.13162492215633392,0.030836859717965126,-0.12697474658489227,0.13616757094860077,-0.06817568093538284,0.11858789622783661,-0.11514827609062195,-0.13717302680015564,-0.002813268220052123
Mg,-0.04076074808835983,-0.05012783780694008,0.01727340929210186,0.06510752439498901,0.0640132948756218,-0.09370317310094833,-0.008908100426197052,-0.10079529136419296,0.03031208924949169,0.045955728739500046,-0.050374843180179596,-0.06328513473272324,-0.1893654316663742,-0.16439306735992432,-0.20856645703315735,-0.2781893312931061,-0.07264968007802963,-0.1750248372554779,0.12390695512294769,0.2664857804775238
